Date,Number of Venture Backed IPOs,Number of Moneytree Companies in Registration
2003-12-31,26.0,31.0
2004-12-31,81.0,57.0
2005-12-31,58.0,16.0
2006-12-31,67.0,36.0
2007-12-31,90.0,31.0
2008-12-31,7.0,20.0
2009-12-31,13.0,23.0
2010-12-31,67.0,31.0
2011-12-31,50.0,60.0
2012-12-31,49.0,27.0
2013-12-31,81.0,22.0
2014-12-31,115.0,19.0
