,rank,city,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
0,,"Tampa, FL, United States",109.64,39.98,78.51,99.16,66.77,88.87
1,,"Columbus, OH, United States",104.69,42.63,76.96,97.75,66.82,93.68
2,,"Portland, OR, United States",102.90,46.57,77.73,94.37,72.67,122.67
3,,"Atlanta, GA, United States",100.99,40.66,74.03,93.88,87.19,79.58
4,,"Edmonton, Canada",100.36,46.56,76.32,111.12,68.61,84.75
5,,"Seattle, WA, United States",100.33,49.85,77.77,104.88,107.68,133.93
6,,"New York, NY, United States",100.00,100.00,100.00,100.00,100.00,100.00
7,,"Minneapolis, MN, United States",92.85,56.51,76.61,103.22,80.04,83.48
8,,"Austin, TX, United States",91.38,57.50,76.24,91.59,80.93,114.24
9,,"San Francisco, CA, United States",90.64,81.55,86.58,114.42,90.00,114.16
10,,"Boston, MA, United States",89.11,63.24,77.55,77.18,78.04,119.95
11,,"Philadelphia, PA, United States",85.45,59.36,73.79,107.80,66.09,122.91
12,,"Montreal, Canada",85.34,48.39,68.83,90.86,58.18,81.26
13,,"Toronto, Canada",83.37,52.42,69.53,102.05,62.16,105.33
14,,"Lincoln, NE, United States",79.20,29.51,57.00,61.29,59.57,118.33
