,rank,city,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
76,,"Edmonton, Canada",70.76,28.55,50.47,70.57,65.63,128.64
77,,"Calgary, Canada",70.57,32.58,52.31,70.93,69.67,162.46
78,,"Saint Paul, MN, United States",70.56,34.86,53.40,71.31,57.74,118.41
79,,"Ann Arbor, MI, United States",70.37,38.43,55.02,69.72,61.69,158.08
80,,"Austin, TX, United States",70.23,50.35,60.67,67.42,69.53,139.16
81,,"Greenville, SC, United States",70.13,31.15,51.40,73.61,61.50,173.46
82,,"Louisville, KY, United States",69.84,24.85,48.22,83.32,54.88,130.71
83,,"Milwaukee, WI, United States",69.82,29.91,50.64,70.99,65.94,148.04
84,,"Columbus, OH, United States",69.81,34.38,52.78,71.01,64.11,133.01
85,,"Iowa City, IA, United States",69.30,31.20,50.99,67.06,63.93,150.36
86,,"Virginia Beach, VA, United States",69.16,37.85,54.11,71.84,66.22,148.28
87,,"Victoria, Canada",68.57,28.13,49.13,74.41,59.88,131.38
88,,"Red Deer, Canada",68.55,25.00,47.62,67.01,66.40,116.72
89,,"Halifax, Canada",68.48,24.17,47.18,72.72,63.83,127.12
90,,"Gainesville, FL, United States",67.99,25.90,47.76,69.10,57.12,119.10
91,,"Salem, OR, United States",67.96,26.71,48.14,68.27,59.91,121.22
92,,"Nashville, TN, United States",67.82,43.28,56.02,62.76,72.11,166.17
93,,"London, Canada",67.62,20.77,45.10,68.08,60.09,138.33
94,,"Kansas City, MO, United States",67.52,28.77,48.90,66.95,65.32,154.44
95,,"Salt Lake City, UT, United States",67.40,32.53,50.64,68.65,62.93,186.73
96,,"Quebec City, Canada",67.33,17.10,43.19,71.12,57.98,136.33
97,,"Regina, Canada",67.17,27.84,48.27,70.48,59.18,148.44
98,,"Boise, ID, United States",66.21,27.02,47.37,66.74,67.01,128.30
99,,"Mississauga, Canada",65.94,30.24,48.78,59.53,55.79,97.94
100,,"Toronto, Canada",65.86,35.51,51.28,63.31,63.77,138.99
101,,"Eugene, OR, United States",65.76,27.55,47.40,70.13,53.74,167.77
102,,"Brampton, Canada",65.17,24.91,45.82,60.33,65.76,129.49
103,,"Oklahoma City, OK, United States",65.08,26.74,46.65,71.01,58.99,137.45
104,,"Vancouver, Canada",65.01,40.55,53.25,66.45,60.26,121.65
105,,"Savannah, GA, United States",64.81,26.58,46.44,63.34,76.62,153.93
106,,"Tucson, AZ, United States",63.94,21.59,43.59,65.16,60.12,194.49
107,,"Windsor, Canada",63.92,18.48,42.08,58.75,53.46,154.85
108,,"Albuquerque, NM, United States",63.81,24.66,45.00,64.55,63.69,153.15
109,,"Ottawa, Canada",63.75,27.48,46.32,61.90,63.82,147.30
110,,"Winnipeg, Canada",63.64,23.49,44.34,63.50,54.58,133.14
111,,"Omaha, NE, United States",63.60,28.22,46.60,64.34,54.44,145.32
112,,"San Antonio, TX, United States",63.57,31.83,48.32,66.45,56.40,146.79
113,,"Tulsa, OK, United States",63.24,30.43,47.47,66.49,57.32,155.99
114,,"Surrey, Canada",62.28,27.57,45.60,65.15,60.04,89.10
115,,"Montreal, Canada",61.69,22.31,42.76,62.73,58.01,130.67
116,,"Kitchener, Canada",59.98,23.25,42.33,54.22,62.21,169.35
117,,"Moncton, Canada",59.61,17.26,39.26,61.73,54.81,156.05
118,,"Reno, NV, United States",57.10,25.83,42.07,51.26,56.64,140.98
119,,"Hamilton, Canada",56.01,19.83,38.63,54.44,51.74,161.52
