,rank,city,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
0,,"Hamilton, Bermuda",132.32,120.87,126.82,128.62,120.35,118.87
1,,"San Francisco, CA, United States",103.36,121.64,112.15,122.07,90.89,105.83
2,,"New York, NY, United States",100.00,100.00,100.00,100.00,100.00,100.00
3,,"Honolulu, HI, United States",99.72,64.46,82.78,115.00,84.75,99.75
4,,"Washington, DC, United States",96.18,72.17,84.64,89.47,90.03,119.13
5,,"Anchorage, AK, United States",93.85,42.50,69.17,106.07,79.14,163.81
6,,"Allentown, PA, United States",92.69,34.27,64.61,100.49,73.23,83.96
7,,"Albany, NY, United States",90.13,28.97,60.74,106.24,80.47,152.24
8,,"Stamford, CT, United States",89.25,64.20,77.21,96.64,82.15,148.80
9,,"Queens, NY, United States",89.07,55.40,72.89,93.65,77.07,144.77
10,,"Las Vegas, NV, United States",88.05,30.01,60.16,91.61,83.55,116.52
11,,"Brooklyn, NY, United States",86.85,81.81,84.43,84.17,94.76,115.33
12,,"Fort Collins, CO, United States",86.12,39.00,63.48,93.93,78.88,94.99
13,,"Chicago, IL, United States",85.14,53.41,69.89,87.03,85.01,127.65
14,,"Boston, MA, United States",84.70,75.31,80.19,86.18,82.81,124.49
15,,"Anaheim, CA, United States",83.81,49.63,67.38,89.61,80.49,140.75
16,,"Philadelphia, PA, United States",83.57,46.98,65.98,89.56,74.61,108.23
17,,"Seattle, WA, United States",83.22,59.97,72.05,83.63,80.14,147.45
18,,"Fairfax, VA, United States",83.09,53.14,68.70,79.53,77.19,155.51
19,,"Akron, OH, United States",83.02,20.26,52.86,97.18,62.02,116.32
20,,"Irvine, CA, United States",82.83,62.08,72.86,88.86,69.44,157.58
21,,"Grand Rapids, MI, United States",81.85,28.49,56.21,90.80,65.38,141.69
22,,"Minneapolis, MN, United States",81.06,44.38,63.43,90.16,68.46,142.26
23,,"Pittsburgh, PA, United States",80.65,36.51,59.44,84.88,69.19,122.06
24,,"West Palm Beach, FL, United States",80.62,41.40,61.77,83.42,69.97,145.16
25,,"Asheville, NC, United States",80.59,37.49,59.88,91.57,64.01,128.96
26,,"Baltimore, MD, United States",80.39,48.39,65.01,85.79,74.01,150.11
27,,"Fort Lauderdale, FL, United States",80.35,50.18,65.85,85.79,67.56,144.02
28,,"Fort Worth, TX, United States",80.24,34.71,58.36,84.19,60.36,172.28
29,,"Portland, OR, United States",80.04,48.59,64.92,84.28,71.40,121.98
30,,"Miami, FL, United States",79.98,54.55,67.76,77.71,83.05,132.10
31,,"Des Moines, IA, United States",79.53,31.28,56.34,89.14,66.02,101.96
32,,"Orlando, FL, United States",79.47,39.72,60.37,88.04,75.16,154.50
33,,"Cleveland, OH, United States",79.08,28.35,54.70,79.74,73.34,140.42
34,,"Boulder, CO, United States",78.78,54.35,67.04,76.69,70.18,145.07
35,,"Charleston, SC, United States",78.54,49.98,64.81,87.22,76.24,133.55
36,,"Sacramento, CA, United States",78.40,37.51,58.75,76.57,70.52,136.38
37,,"Denver, CO, United States",78.17,52.33,65.75,78.37,75.37,127.51
38,,"Wichita, KS, United States",78.01,21.15,50.68,90.23,61.42,120.68
39,,"New Orleans, LA, United States",77.98,37.09,58.33,78.70,77.66,111.29
40,,"Los Angeles, CA, United States",77.78,63.73,71.03,76.54,78.83,127.13
41,,"Buffalo, NY, United States",77.57,26.44,53.00,81.06,73.06,144.04
42,,"Naples, FL, United States",77.50,33.52,56.37,81.77,69.58,139.76
43,,"San Jose, CA, United States",77.11,80.71,78.84,81.00,70.26,169.92
44,,"Jersey City, NJ, United States",77.09,61.60,69.65,77.15,68.12,200.03
45,,"Harrisburg, PA, United States",76.95,25.27,52.11,80.91,64.73,188.12
46,,"Charlotte, NC, United States",76.32,37.32,57.58,82.16,65.76,158.86
47,,"Cincinnati, OH, United States",76.23,32.43,55.18,74.83,72.93,143.43
48,,"Durham, NC, United States",76.17,33.10,55.47,83.78,69.21,197.24
49,,"San Diego, CA, United States",76.17,57.20,67.05,76.09,77.39,123.22
50,,"Syracuse, NY, United States",76.14,22.35,50.29,75.92,65.84,83.16
51,,"Knoxville, TN, United States",75.84,29.36,53.50,91.38,60.95,128.04
52,,"Hartford, CT, United States",75.77,37.56,57.41,80.45,71.41,172.80
53,,"St. John's, NL, Canada",75.70,30.66,54.06,83.30,71.54,98.80
54,,"Atlanta, GA, United States",75.70,38.05,57.60,76.89,70.45,139.39
55,,"Santa Barbara, CA, United States",75.62,61.64,68.90,78.21,73.27,144.59
56,,"Houston, TX, United States",75.19,45.62,60.98,77.34,68.85,138.45
57,,"Spokane, WA, United States",74.66,25.81,51.19,74.79,81.11,115.00
58,,"Greensboro, NC, United States",74.53,25.98,51.20,82.67,61.24,203.07
59,,"Jacksonville, FL, United States",73.95,31.94,53.76,77.27,69.34,137.80
60,,"Indianapolis, IN, United States",73.55,28.90,52.09,77.98,58.64,119.09
61,,"Riverside, CA, United States",73.40,36.50,55.66,70.69,64.89,155.50
62,,"Madison, WI, United States",73.28,36.44,55.57,77.21,65.49,150.14
63,,"Vancouver, WA, United States",72.67,31.10,52.69,76.76,58.86,152.22
64,,"Tampa, FL, United States",72.44,37.19,55.50,75.21,73.74,141.77
65,,"Dallas, TX, United States",72.42,39.47,56.58,71.65,68.41,159.75
66,,"Raleigh, NC, United States",72.23,34.08,53.90,74.35,72.62,146.91
67,,"Burlington, Canada",72.12,27.84,50.84,77.51,62.57,124.55
68,,"Detroit, MI, United States",71.88,31.08,52.27,74.59,57.21,196.96
69,,"Lexington, KY, United States",71.82,28.38,50.94,65.87,62.53,151.55
70,,"Saskatoon, Canada",71.15,26.38,49.63,79.56,53.57,113.40
71,,"Oshawa, Canada",70.98,24.55,48.67,76.70,57.65,93.37
72,,"Rochester, NY, United States",70.96,31.29,51.89,69.83,73.73,140.70
73,,"Saint Louis, MO, United States",70.95,27.95,50.29,75.00,60.45,138.84
74,,"Phoenix, AZ, United States",70.84,31.10,51.74,70.71,64.84,199.38
75,,"Huntsville, AL, United States",70.79,20.45,46.60,73.57,68.03,150.98
