,rank,city,cost_of_living_index,rent_index,cost_of_living_plus_rent_index,groceries_index,restaurant_price_index,local_purchasing_power_index
0,,"Honolulu, HI, United States",106.27,69.65,88.47,136.80,79.01,80.71
1,,"Washington, DC, United States",100.38,71.50,86.35,103.04,94.95,106.57
2,,"New York, NY, United States",100.00,100.00,100.00,100.00,100.00,100.00
3,,"Barrie, Canada",99.74,29.35,65.54,104.65,78.32,92.77
4,,"Halifax, Canada",99.28,39.14,70.06,122.09,76.20,95.39
5,,"Anchorage, AK, United States",98.99,44.55,72.54,106.43,85.07,165.82
6,,"Vancouver, Canada",98.11,51.39,75.41,109.26,84.23,91.55
7,,"Calgary, Canada",96.72,44.15,71.18,102.15,90.06,118.80
8,,"Regina, Canada",94.10,32.74,64.28,108.16,79.72,94.56
9,,"San Francisco, CA, United States",93.66,94.98,94.30,109.18,87.15,103.91
10,,"Saint John's, Canada",93.59,31.71,63.53,108.79,88.65,82.20
11,,"Brampton, Canada",93.16,35.31,65.06,92.41,84.11,86.86
12,,"Roanoke, VA, United States",93.16,25.35,60.21,110.35,72.03,126.93
13,,"Boston, MA, United States",92.94,70.13,81.86,100.37,83.88,115.63
14,,"Edmonton, Canada",92.66,39.18,66.67,94.41,82.05,102.13
15,,"Richmond, VA, United States",91.98,35.18,64.38,101.74,81.97,135.74
16,,"Seattle, WA, United States",91.63,55.05,73.86,100.43,81.70,115.27
17,,"Nanaimo, BC, Canada",91.13,30.63,61.73,90.91,84.08,38.24
18,,"Sacramento, CA, United States",91.10,35.80,64.23,101.25,71.01,128.24
19,,"Hartford, CT, United States",90.72,39.89,66.03,107.98,78.29,127.45
20,,"Philadelphia, PA, United States",90.09,49.73,70.48,104.47,76.18,122.61
21,,"Saskatoon, Canada",89.98,29.84,60.76,95.45,72.27,87.12
22,,"Fredericton, Canada",89.64,24.26,57.88,111.37,68.25,100.12
23,,"Quebec City, Canada",89.45,23.42,57.37,98.91,77.12,105.17
24,,"Toronto, Canada",89.22,50.89,70.60,91.27,76.63,101.75
25,,"Minneapolis, MN, United States",89.18,40.66,65.61,97.68,73.91,114.60
26,,"Saint Petersburg, FL, United States",88.71,37.78,63.97,100.46,64.70,84.56
27,,"Surrey, Canada",88.62,31.64,60.94,102.13,72.24,77.47
28,,"Mississauga, Canada",88.44,42.03,65.89,89.69,75.34,98.93
29,,"Abbotsford, Canada",88.32,25.75,57.92,97.04,80.06,116.70
30,,"Lethbridge, AB, Canada",88.24,32.28,61.05,80.00,97.64,38.66
31,,"Red Deer, Canada",88.11,33.08,61.38,92.35,76.13,135.49
32,,"San Jose, CA, United States",87.39,72.12,79.97,96.06,76.20,129.95
33,,"Victoria, Canada",87.33,34.97,61.89,99.06,72.11,99.40
34,,"Waterloo, Canada",87.13,27.72,58.27,100.08,68.63,92.08
35,,"Cleveland, OH, United States",87.06,30.79,59.72,94.33,71.09,117.87
36,,"Madison, WI, United States",86.72,37.74,62.92,103.66,69.84,118.42
37,,"Houston, TX, United States",86.52,50.96,69.24,84.33,75.09,120.57
38,,"Ottawa, Canada",86.15,36.17,61.87,92.28,79.83,131.88
39,,"Hamilton, Canada",85.80,27.00,57.23,87.15,68.30,97.53
40,,"Santa Barbara, CA, United States",85.74,56.07,71.32,98.29,79.86,102.22
41,,"London, Canada",85.32,29.77,58.33,88.24,79.30,87.06
42,,"Austin, TX, United States",84.91,44.67,65.36,95.00,69.64,116.50
43,,"Winnipeg, Canada",84.07,29.88,57.74,90.22,77.00,77.40
44,,"Montreal, Canada",83.27,29.25,57.02,93.09,75.94,100.23
45,,"Miami, FL, United States",82.83,58.08,70.81,90.26,77.13,111.16
46,,"Kitchener, Canada",82.52,29.18,56.61,96.75,69.99,139.51
47,,"Denver, CO, United States",82.10,44.11,63.64,92.13,69.06,133.98
48,,"Buffalo, NY, United States",81.37,28.75,55.81,93.21,64.43,125.44
49,,"Reno, NV, United States",81.20,28.39,55.55,104.73,58.52,97.49
50,,"Chicago, IL, United States",81.01,55.26,68.50,84.30,74.23,117.29
51,,"Kelowna, Canada",80.76,32.45,57.29,90.17,70.49,90.97
52,,"Raleigh, NC, United States",80.56,36.61,59.21,88.99,70.72,119.39
53,,"Detroit, MI, United States",80.33,27.67,54.75,86.22,63.12,131.84
54,,"Springfield, MO, United States",79.92,17.69,49.69,89.88,62.70,104.13
55,,"New Orleans, LA, United States",79.43,41.58,61.05,87.70,68.00,113.19
56,,"Oakland, CA, United States",79.20,63.87,71.75,85.66,76.95,136.56
57,,"Columbus, OH, United States",78.60,30.57,55.27,89.23,68.07,112.28
58,,"Spokane, WA, United States",78.50,23.19,51.63,89.17,64.45,120.86
59,,"Knoxville, TN, United States",78.17,31.52,55.50,84.79,61.25,113.34
60,,"Irvine, CA, United States",78.07,60.92,69.74,75.61,76.23,167.78
61,,"Baltimore, MD, United States",78.03,41.57,60.32,81.34,67.31,139.14
62,,"Windsor, Canada",77.87,28.36,53.82,83.63,61.80,129.59
63,,"Dallas, TX, United States",77.59,42.90,60.73,75.82,68.16,141.24
64,,"San Diego, CA, United States",77.48,52.60,65.39,79.20,73.61,141.65
65,,"Orlando, FL, United States",77.22,36.79,57.58,87.01,63.77,115.31
66,,"Las Vegas, NV, United States",76.71,26.39,52.26,76.20,72.92,149.19
67,,"Fort Lauderdale, FL, United States",76.64,41.38,59.51,76.57,67.30,97.22
68,,"Tampa, FL, United States",76.20,33.46,55.43,79.46,70.54,138.96
69,,"Pittsburgh, PA, United States",75.06,34.54,55.37,72.69,68.54,121.61
70,,"Rochester, NY, United States",73.56,29.97,52.39,85.46,65.25,85.30
71,,"Portland, OR, United States",73.53,38.44,56.48,73.33,66.75,113.28
72,,"Indianapolis, IN, United States",73.21,27.57,51.03,74.16,70.87,146.94
73,,"Wichita, KS, United States",73.07,20.40,47.48,78.87,62.88,108.98
74,,"Kansas City, MO, United States",72.51,26.26,50.04,78.54,68.90,154.13
75,,"Salt Lake City, UT, United States",72.01,29.92,51.56,71.87,62.84,139.88
76,,"Phoenix, AZ, United States",71.61,29.66,51.23,73.72,64.05,143.82
77,,"Oklahoma City, OK, United States",71.57,26.45,49.65,82.68,57.72,132.16
78,,"Nashville, TN, United States",71.40,36.71,54.54,74.80,62.77,159.10
79,,"San Antonio, TX, United States",71.19,34.03,53.13,72.70,64.98,132.14
80,,"Birmingham, AL, United States",71.18,36.42,54.29,75.74,64.13,170.38
81,,"Los Angeles, CA, United States",70.48,55.24,63.07,66.35,74.10,128.27
82,,"Akron, OH, United States",70.42,22.70,47.23,74.78,58.91,158.05
83,,"Des Moines, IA, United States",70.00,26.82,49.02,75.97,57.16,150.81
84,,"Tulsa, OK, United States",69.88,31.97,51.46,72.22,64.60,100.54
85,,"Omaha, NE, United States",69.47,29.08,49.85,73.27,73.01,141.87
86,,"Fort Worth, TX, United States",69.34,29.69,50.08,67.37,63.87,230.11
87,,"Boise, ID, United States",68.35,24.98,47.28,62.51,67.75,104.46
88,,"Milwaukee, WI, United States",67.75,29.95,49.39,69.40,67.09,126.13
