2005-2006 Statistics of U.S. Businesses comma-delimited files

Size Code    Enterprise Employment Size
  01		Total
  02		0-4
  03		5-9
  04		10-19
  05		<20
  06		20-99	
  07		100-499	
  08		<500
  09		500+
  10		10-14
  11		15-19	
  12		20-24
  13		25-29
  14		30-34
  15		35-39
  16		40-44 
  17		45-49
  18		50-74
  19		75-99
  20		100-149
  21		150-199
  22		200-299
  23		300-399	
  24		400-499
  25		500-749
  26		750-999	
  27		1,000-1,499
  28		1,500-2,499
  29		2,500+
	
	
  * There is no longer a 0 employment size group	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
