1997-2001 Statistics of U.S. Businesses comma-delimited files

Size Code    Enterprise Employment Size
  01		Total
  02   		0
  03		1-4
  04		5-9
  05		10-19
  06		10-14
  07		15-19	
  08		<20	
  09		20-99
  10		20-24
  11		25-29
  12		30-34	
  13		35-39
  14		40-44
  15		45-49
  16		50-54
  17		55-59 
  18		60-64
  19		65-69
  20		70-74
  21		75-79
  22		80-84
  23		85-89
  24		90-94	
  25		95-99
  26		100-499
  27		<500
  28		500+
  29		500-999
  30		1,000-1,499
  31		1,500-2,499
  32		2,500+
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
