Date,Seed (%),Post Seed (%)
2002-12-31,47.0,33.0
2003-12-31,52.0,35.0
2005-12-31,55.0,43.0
2006-12-31,46.0,40.0
2007-12-31,39.0,56.0
2008-12-31,45.0,54.0
2009-12-31,35.0,62.0
2010-12-31,31.0,67.0
2011-12-31,42.0,55.0
2012-12-31,35.0,62.0
2013-12-31,45.0,53.0
2014-12-31,25.0,74.0
2015-12-31,28.0,72.0
