Date,Seed,Early Stage,Expansion,Later Stage,Total
2008-12-31,364.9,1457.2,2175.0,2197.1,6194.1
2009-03-31,319.7,767.3,1223.8,1531.5,3842.2
2009-06-30,672.4,1179.6,1770.3,1606.8,5229.1
2009-09-30,511.0,1213.6,1824.4,1844.7,5393.7
2009-12-31,367.6,1746.5,2005.7,1793.6,5913.3
2010-03-31,407.9,1147.8,1788.9,1723.4,5067.9
2010-06-30,687.8,1740.3,2796.5,1925.7,7150.2
2010-09-30,332.5,1410.4,1685.3,1999.1,5427.4
2010-12-31,233.1,1568.5,2431.3,1437.1,5670.2
2011-03-31,225.2,1830.3,2257.4,2220.8,6533.7
2011-06-30,413.4,2272.4,2418.9,3037.1,8141.7
2011-09-30,221.7,2233.2,2545.3,2426.3,7426.5
2011-12-31,192.4,2458.5,2608.9,2135.5,7395.3
2012-03-31,157.9,1933.7,1789.2,2355.8,6236.6
2012-06-30,230.6,2190.2,2715.7,2187.7,7324.2
2012-09-30,181.0,1824.0,2614.1,1983.2,6602.3
2012-12-31,156.9,1928.3,2257.5,2146.6,6489.4
2013-03-31,188.8117,1727.1288,2063.9721,2176.57,6156.4826
2013-06-30,249.3513,2652.6083,2253.6758,2163.7404,7319.3758
2013-09-30,223.3811,2952.2506,2596.1328,2354.025,8125.7895
2013-12-31,369.021,3103.4986,2991.2048,2220.5608,8684.2852
2014-03-31,143.4439,3367.5568,4604.8002,2569.4136,10685.2145
2014-06-30,241.8638,3946.4436,6325.3718,3488.552,14002.2312
2014-09-30,197.3485,3138.3246,3610.1802,3538.7126,10484.5659
2014-12-31,245.1762,5671.7721,6910.3264,2836.3672,15663.6419
2015-03-31,91.2059,3720.6269,5345.3802,4398.4661,13555.6791
2015-06-30,193.5191,5743.1142,7340.8299,4032.9135,17310.3767
2015-09-30,242.6671,5429.325,6423.9866,4509.8519,16605.8306
2015-12-31,375.1737,4937.7719,3017.2649,3009.0914,11339.3019
