Year,Number of Funds,Venture Capital Raised ($M)
2000-12-31,637.0,106734.4
2001-12-31,309.0,38007.7
2002-12-31,179.0,3936.9
2003-12-31,151.0,10622.8
2004-12-31,218.0,19154.4
2005-12-31,234.0,30759.6
2006-12-31,235.0,31860.9
2007-12-31,237.0,31061.1
2008-12-31,215.0,25577.2
2009-12-31,161.0,16175.9
2010-12-31,174.0,13436.8
2011-12-31,187.0,19045.7
2012-12-31,189.0,19439.1
2013-12-31,207.0,17694.1
2014-12-31,254.0,29826.4
