,Table 1. Current-Dollar Gross Domestic Product (GDP) by Metropolitan Area,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
0,,Millions of dollars,,,,,,2014 Rank*
242,"Muncie, IN",3274,3371.0,3439.0,3620.0,3723.0,3759,354
243,"Muskegon, MI",4519,4835.0,5049.0,5249.0,5438.0,5639,280
244,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",13458,13639.0,14122.0,14480.0,15100.0,15569,144
245,"Napa, CA",7336,7025.0,7155.0,7897.0,8300.0,8805,212
246,"Naples-Immokalee-Marco Island, FL",12098,12414.0,12635.0,13633.0,14738.0,15910,141
247,"Nashville-Davidson--Murfreesboro--Franklin, TN",81475,84728.0,89229.0,96223.0,101006.0,106695,34
248,"New Bern, NC",4671,4715.0,4684.0,4863.0,4858.0,4887,307
249,"New Haven-Milford, CT",40498,41222.0,41438.0,42390.0,43909.0,44858,61
250,"New Orleans-Metairie, LA",69298,77938.0,79309.0,81497.0,79552.0,80278,41
251,"New York-Newark-Jersey City, NY-NJ-PA",1276750,1334008.0,1368438.0,1446659.0,1490952.0,1558518,1
252,"Niles-Benton Harbor, MI",5582,5939.0,5731.0,5636.0,6097.0,6285,258
253,"North Port-Sarasota-Bradenton, FL",23610,23434.0,23742.0,24215.0,25725.0,27220,92
254,"Norwich-New London, CT",16053,16043.0,15280.0,15106.0,15107.0,15536,145
255,"Ocala, FL",7017,7020.0,6995.0,7069.0,7319.0,7741,224
256,"Ocean City, NJ",4319,4308.0,4397.0,4530.0,4657.0,4653,325
257,"Odessa, TX",5574,6019.0,7371.0,8752.0,9581.0,10342,194
258,"Ogden-Clearfield, UT",19464,20715.0,21577.0,21499.0,22704.0,23862,101
259,"Oklahoma City, OK",56128,59459.0,63809.0,66470.0,70035.0,72629,44
260,"Olympia-Tumwater, WA",9121,9246.0,9178.0,9404.0,9875.0,10184,195
261,"Omaha-Council Bluffs, NE-IA",46419,47975.0,49934.0,52675.0,55371.0,57885,52
262,"Orlando-Kissimmee-Sanford, FL",99970,101460.0,101781.0,105142.0,109756.0,115927,31
263,"Oshkosh-Neenah, WI",7557,8266.0,8591.0,8772.0,9083.0,9217,205
264,"Owensboro, KY",4364,4560.0,4781.0,5138.0,5518.0,5550,282
265,"Oxnard-Thousand Oaks-Ventura, CA",37455,40095.0,42463.0,44121.0,45889.0,46892,59
266,"Palm Bay-Melbourne-Titusville, FL",18397,18539.0,17781.0,17655.0,18087.0,18583,121
267,"Panama City, FL",7025,7221.0,7064.0,6877.0,7170.0,7674,225
268,"Parkersburg-Vienna, WV",3402,3275.0,3331.0,3408.0,3450.0,3548,360
269,"Pensacola-Ferry Pass-Brent, FL",13832,14330.0,14632.0,14697.0,15238.0,15916,140
270,"Peoria, IL",17857,18068.0,20071.0,22113.0,20300.0,20462,116
271,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",340442,348104.0,355652.0,367916.0,379899.0,391118,8
272,"Phoenix-Mesa-Scottsdale, AZ",179833,183554.0,191158.0,200989.0,207193.0,215214,15
273,"Pine Bluff, AR",3027,3133.0,3138.0,3185.0,3118.0,3079,369
274,"Pittsburgh, PA",110915,116554.0,121635.0,125133.0,129857.0,135662,23
275,"Pittsfield, MA",5433,5260.0,5529.0,5925.0,6049.0,6198,261
276,"Pocatello, ID",2372,2416.0,2468.0,2455.0,2446.0,2530,377
277,"Portland-South Portland, ME",25064,25881.0,26193.0,26731.0,27443.0,28002,91
278,"Portland-Vancouver-Hillsboro, OR-WA",130972,140954.0,149423.0,150750.0,150590.0,159328,20
279,"Port St. Lucie, FL",11099,11170.0,11152.0,11170.0,11380.0,11776,177
280,"Prescott, AZ",4585,4500.0,4428.0,4487.0,4620.0,4810,313
281,"Providence-Warwick, RI-MA",65792,67705.0,68959.0,70897.0,73449.0,75940,42
282,"Provo-Orem, UT",15061,15404.0,16191.0,17271.0,18455.0,19448,120
283,"Pueblo, CO",4178,4224.0,4383.0,4509.0,4540.0,4785,315
284,"Punta Gorda, FL",3182,3175.0,3188.0,3210.0,3381.0,3505,361
285,"Racine, WI",6559,7105.0,7106.0,7493.0,7488.0,7526,229
286,"Raleigh, NC",56274,59374.0,61779.0,64375.0,68452.0,71574,45
287,"Rapid City, SD",5141,5410.0,5640.0,5823.0,5902.0,6117,264
288,"Reading, PA",14734,15053.0,15357.0,15827.0,16144.0,16750,135
289,"Redding, CA",5035,5103.0,5216.0,5223.0,5369.0,5592,281
290,"Reno, NV",19072,18910.0,19103.0,19144.0,19870.0,20554,115
291,"Richmond, VA",61076,62614.0,63376.0,65474.0,68050.0,70491,46
292,"Riverside-San Bernardino-Ontario, CA",111393,115037.0,119231.0,121738.0,127651.0,133983,24
293,"Roanoke, VA",13208,13067.0,13081.0,13323.0,13796.0,14249,154
294,"Rochester, MN",9130,9850.0,9808.0,10095.0,10341.0,10561,189
295,"Rochester, NY",48118,49167.0,49676.0,51578.0,52868.0,53279,55
296,"Rockford, IL",12244,12621.0,13229.0,14058.0,14010.0,14410,150
297,"Rocky Mount, NC",6514,6372.0,6207.0,6215.0,6271.0,6181,262
298,"Rome, GA",3229,3243.0,3230.0,3291.0,3368.0,3466,362
299,"Sacramento--Roseville--Arden-Arcade, CA",95194,96202.0,99358.0,104746.0,109537.0,112703,33
300,"Saginaw, MI",6580,6991.0,7132.0,7150.0,7430.0,7587,228
301,"St. Cloud, MN",7459,7693.0,7916.0,8167.0,8443.0,8737,214
302,"St. George, UT",3581,3515.0,3708.0,3882.0,4158.0,4426,331
303,"St. Joseph, MO-KS",4716,4861.0,4933.0,5322.0,5490.0,5684,277
304,"St. Louis, MO-IL",131905,134290.0,137258.0,142033.0,145036.0,149951,21
305,"Salem, OR",12849,12608.0,12480.0,12668.0,13178.0,13767,157
306,"Salinas, CA",17856,18214.0,18413.0,19204.0,20398.0,20897,114
307,"Salisbury, MD-DE",13517,13486.0,13251.0,13200.0,13764.0,14130,156
308,"Salt Lake City, UT",61547,63681.0,67006.0,69327.0,72881.0,75672,43
309,"San Angelo, TX",3663,3853.0,4151.0,4400.0,4737.0,5339,294
310,"San Antonio-New Braunfels, TX",77169,81768.0,87276.0,93140.0,99398.0,104787,35
311,"San Diego-Carlsbad, CA",174640,176461.0,183453.0,193090.0,200249.0,206817,17
312,"San Francisco-Oakland-Hayward, CA",327088,334484.0,345165.0,373546.0,387030.0,411969,7
313,"San Jose-Sunnyvale-Santa Clara, CA",149513,164457.0,176780.0,183558.0,198066.0,213819,16
314,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",10608,11140.0,11496.0,11926.0,12557.0,13121,167
315,"Santa Cruz-Watsonville, CA",9476,9547.0,9802.0,10262.0,10875.0,11245,183
316,"Santa Fe, NM",6519,6537.0,6638.0,6636.0,7003.0,6972,242
317,"Santa Maria-Santa Barbara, CA",19982,20448.0,21718.0,22647.0,23510.0,23930,100
318,"Santa Rosa, CA",19654,20268.0,21177.0,21521.0,22582.0,23804,102
319,"Savannah, GA",13238,13553.0,13880.0,14463.0,15010.0,15905,142
320,"Scranton--Wilkes-Barre--Hazleton, PA",19551,20281.0,20538.0,20756.0,21393.0,21980,110
