Date,New Jobs
2004-12-31,141200.0
2005-12-31,198000.0
2006-12-31,201400.0
2007-12-31,200000.0
2009-12-31,250000.0
2010-12-31,370000.0
2011-12-31,165000.0
2012-12-31,274800.0
2013-12-31,290020.0
2014-12-31,264200.0
2015-12-31,270200.0
